name,sku,categorySlug,brandName,basePrice,stock,description,presentation,weightKg
Limpiador multiusos concentrado,LG-001,limpieza-general,Limpiarte,18900,60,Concentrado para superficies lavables. Rinde hasta 20 litros de solución lista.,1 L,1.05
Limpiador multiusos lavanda,LG-002,limpieza-general,Limpiarte,12500,90,Listo para usar con fragancia de lavanda. No requiere enjuague.,1 L,1.05
Limpiador multiusos manzana verde,LG-003,limpieza-general,Limpiarte,12500,85,Listo para usar con fragancia frutal. Ideal para pisos y mesones.,1 L,1.05
Limpiador multiusos línea bebé,LG-004,limpieza-general,Limpiarte,13900,70,Fórmula suave sin amoniaco para habitaciones infantiles y salacunas.,1 L,1.05
Quitagrasas industrial,LG-005,limpieza-general,Limpiarte Pro,24900,45,Desengrasante alcalino para grasa pesada en talleres y cocinas industriales.,1 L,1.1
Limpiavidrios con gatillo,LG-006,limpieza-general,Limpiarte,9800,100,Limpiador de vidrios y espejos con pulverizador. Secado rápido sin marcas.,500 ml,0.55
Limpiador de acero inoxidable,LG-007,limpieza-general,Limpiarte,16500,40,Devuelve el brillo al acero y protege de huellas dactilares.,500 ml,0.55
Lustramuebles en aerosol,LG-008,limpieza-general,Limpiarte,15900,50,Limpia y protege madera y superficies laminadas con acabado satinado.,400 ml,0.45
Limpiador de tapetes y tapicería,LG-009,limpieza-general,Limpiarte,21500,35,Espuma activa que remueve manchas de telas alfombras y muebles.,600 ml,0.65
Jabón líquido para manos con glicerina,LG-010,limpieza-general,Limpiarte,11900,120,Jabón cremoso apto para dispensador o uso directo.,1 L,1.05
Hipoclorito de sodio al 5 por ciento,DES-001,desinfectantes,Limpiarte,7900,150,Blanqueador y desinfectante de uso general para pisos y baños.,1 L,1.1
Hipoclorito de sodio presentación galón,DES-002,desinfectantes,Limpiarte,24900,60,Presentación rendidora para colegios oficinas y conjuntos residenciales.,3.8 L,4.0
Amonio cuaternario de quinta generación,DES-003,desinfectantes,Limpiarte Pro,32900,40,Desinfectante de amplio espectro para áreas críticas. Diluir según ficha técnica.,1 L,1.1
Alcohol antiséptico al 70 por ciento,DES-004,desinfectantes,Limpiarte,9500,130,Alcohol etílico para desinfección de manos y superficies de contacto.,700 ml,0.75
Gel antibacterial para manos,DES-005,desinfectantes,Limpiarte,12900,110,Gel con 70 por ciento de alcohol y emolientes que cuidan la piel.,1 L,1.05
Desinfectante de superficies aroma pino,DES-006,desinfectantes,Limpiarte,13500,85,Limpia y desinfecta en un solo paso con aroma a pino.,1 L,1.05
Desinfectante de superficies aroma floral,DES-007,desinfectantes,Limpiarte,13500,80,Limpia y desinfecta en un solo paso con fragancia floral.,1 L,1.05
Peróxido de hidrógeno acelerado,DES-008,desinfectantes,Limpiarte Pro,28900,30,Desinfectante sin cloro apto para áreas de manipulación de alimentos.,1 L,1.1
Toallas desinfectantes húmedas,DES-009,desinfectantes,Limpiarte,15900,70,Toallas listas para desinfectar teclados manijas y superficies de contacto frecuente.,Paquete x 80,0.9
Sanitizante para superficies de alimentos,DES-010,desinfectantes,Limpiarte Pro,26900,35,Sanitizante sin enjuague para mesones y utensilios de cocina.,1 L,1.1
Lavaloza líquido limón,COC-001,cocina,Limpiarte,8900,140,Removedor de grasa con aroma a limón. Alto rendimiento por gota.,500 ml,0.55
Lavaloza líquido limón familiar,COC-002,cocina,Limpiarte,15900,95,Presentación familiar rendidora para uso diario.,1 L,1.05
Lavaloza en crema,COC-003,cocina,Limpiarte,7500,110,Crema lavaplatos que arrastra la grasa sin rayar los utensilios.,500 g,0.55
Desengrasante para cocina con gatillo,COC-004,cocina,Limpiarte,14900,75,Disuelve grasa quemada en campanas estufas y hornos.,500 ml,0.55
Limpiador de hornos,COC-005,cocina,Limpiarte Pro,19900,40,Gel de acción profunda para hornos y parrillas con grasa carbonizada.,500 ml,0.6
